Date,Ticker,Open,Close,Volume,Sector,Industry
2020-11-27,AAPL,116.57,116.59,46691300,Technology,Consumer Electronics
2020-11-30,AAPL,116.97,119.05,169410200,Technology,Consumer Electronics
2020-12-01,AAPL,121.01,122.72,128166800,Technology,Consumer Electronics
2020-12-02,AAPL,122.02,123.08,89004200,Technology,Consumer Electronics
2020-12-03,AAPL,123.52,122.94,78967600,Technology,Consumer Electronics
2020-12-04,AAPL,122.6,122.25,78260400,Technology,Consumer Electronics
2020-12-07,AAPL,122.31,123.75,86712000,Technology,Consumer Electronics
2020-12-08,AAPL,124.37,124.38,82225500,Technology,Consumer Electronics
2020-12-09,AAPL,124.53,121.78,115089200,Technology,Consumer Electronics
2020-12-10,AAPL,120.5,123.24,81312200,Technology,Consumer Electronics
2020-12-11,AAPL,122.43,122.41,86939800,Technology,Consumer Electronics
2020-12-14,AAPL,122.6,121.78,79184500,Technology,Consumer Electronics
2020-12-15,AAPL,124.34,127.88,157572300,Technology,Consumer Electronics
2020-12-16,AAPL,127.41,127.81,98208600,Technology,Consumer Electronics
2020-12-17,AAPL,128.9,128.7,94359800,Technology,Consumer Electronics
2020-12-18,AAPL,128.96,126.66,192541500,Technology,Consumer Electronics
2020-12-21,AAPL,125.02,128.23,121251600,Technology,Consumer Electronics
2020-12-22,AAPL,131.61,131.88,168904800,Technology,Consumer Electronics
2020-12-23,AAPL,132.16,130.96,88223700,Technology,Consumer Electronics
2020-12-24,AAPL,131.32,131.97,54930100,Technology,Consumer Electronics
2020-12-28,AAPL,133.99,136.69,124486200,Technology,Consumer Electronics
2020-12-29,AAPL,138.05,134.87,121047300,Technology,Consumer Electronics
2020-12-30,AAPL,135.58,133.72,96452100,Technology,Consumer Electronics
2020-12-31,AAPL,134.08,132.69,99116600,Technology,Consumer Electronics
2021-01-04,AAPL,133.52,129.41,143301900,Technology,Consumer Electronics
2021-01-05,AAPL,128.89,131.01,97664900,Technology,Consumer Electronics
2021-01-06,AAPL,127.72,126.6,155088000,Technology,Consumer Electronics
2021-01-07,AAPL,128.36,130.92,109578200,Technology,Consumer Electronics
2021-01-08,AAPL,132.43,132.05,105158200,Technology,Consumer Electronics
2021-01-11,AAPL,129.19,128.98,100620900,Technology,Consumer Electronics
2021-01-12,AAPL,128.5,128.8,91951100,Technology,Consumer Electronics
2021-01-13,AAPL,128.76,130.89,88636800,Technology,Consumer Electronics
2021-01-14,AAPL,130.8,128.91,90221800,Technology,Consumer Electronics
2021-01-15,AAPL,128.78,127.14,111598500,Technology,Consumer Electronics
2021-01-19,AAPL,127.78,127.83,90757300,Technology,Consumer Electronics
2021-01-20,AAPL,128.66,132.03,104319500,Technology,Consumer Electronics
2021-01-21,AAPL,133.8,136.87,120529500,Technology,Consumer Electronics
2021-01-22,AAPL,136.28,139.07,114459400,Technology,Consumer Electronics
2021-01-25,AAPL,143.07,142.92,157611700,Technology,Consumer Electronics
2021-01-26,AAPL,143.6,143.16,98390600,Technology,Consumer Electronics
2021-01-27,AAPL,143.43,142.06,140843800,Technology,Consumer Electronics
2021-01-28,AAPL,139.52,137.09,142621100,Technology,Consumer Electronics
2021-01-29,AAPL,135.83,131.96,177180600,Technology,Consumer Electronics
